[18:56:48:841] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000971, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:49:074] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000970, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:49:225] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000975, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:49:368] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:838924, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:49:460] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000973, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:49:592] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000972, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:49:715] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000978, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:49:851] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000977, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:50:010] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000976, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:50:148] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:688728, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:50:268] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:688722, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:50:412] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:605555, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:50:521] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:601198, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:50:638] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:601199, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[18:56:50:782] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000960, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
[19:14:19:067] [ERROR] - com.abiao.data.collect.StockIndicatorCollect.collect(StockIndicatorCollect.java:59) - get stock indicator info fail, stock_code:000971, e:org.apache.hc.client5.http.HttpResponseException: status code: 500, reason phrase: Internal Server Error
